file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_594_size_101_cutoff_10.0.cm.dat,18430881098611465120,47,49,37.736125467,8769,35.412657638
cost_matrix_component_nr_421_size_111_cutoff_10.0.cm.dat,17366682823714144077,42,42,32.196651894,2857,29.669649957
cost_matrix_component_nr_897_size_42_cutoff_10.0.cm.dat,4020642959093499132,21,21,0.458603153,1173,0.421788054
cost_matrix_component_nr_1955_size_50_cutoff_10.0.cm.dat,14672535842005474033,26,26,1.622512634,2003,1.466970265
tpch_denormalized_r6001216_c52_r500000_c52_UCCs.hg.dat,7724140106187598658,15,16,33.368178758,2395,29.8982713
cost_matrix_component_nr_937_size_59_cutoff_10.0.cm.dat,3306894859487364671,26,26,2.921905187,5233,2.8111582459999997
cost_matrix_component_nr_1076_size_75_cutoff_10.0.cm.dat,8359336152128868838,30,30,14.7061474,10767,13.844076922
cost_matrix_component_nr_1383_size_119_cutoff_10.0.cm.dat,9762549287821880153,47,47,204.08810969,54697,194.926219037
tpch_denormalized_r6001216_c52_r100000_c52_UCCs.hg.dat,2154473420878633693,16,18,15.315653114,2185,13.62240442
cost_matrix_component_nr_248_size_77_cutoff_10.0.cm.dat,12389847718473226875,25,25,1.173469348,1505,1.10564328
cost_matrix_component_nr_53_size_84_cutoff_10.0.cm.dat,7288231210710117897,37,37,148.497620646,131373,140.686183932
cost_matrix_component_nr_740_size_127_cutoff_10.0.cm.dat,2251792382208390985,49,51,3342.512238402,1396717,3235.549012346
cost_matrix_component_nr_595_size_121_cutoff_10.0.cm.dat,17566946884645347205,50,50,78.589867973,10531,73.182183505
cost_matrix_component_nr_918_size_52_cutoff_10.0.cm.dat,11421717149939593282,24,24,0.842970633,785,0.77400193
p8_64000.dat,7827448155693793652,6,6,4262.899684471,295429,4157.118853607
p7_1000.dat,13030829955157791784,4,4,5.5363932689999995,1823,5.231561616
cost_matrix_component_nr_421_size_111_cutoff_10.0.cm.dat,9328251581205821000,42,42,25.770805885,2369,23.515168903
cost_matrix_component_nr_1585_size_88_cutoff_10.0.cm.dat,13234319323701375517,32,33,29.647215315,27579,27.922562819
cost_matrix_component_nr_115_size_79_cutoff_10.0.cm.dat,16257604488491070746,32,32,9.820124831,3119,8.909830722
p8_8000.dat,10089414065698912908,5,5,179.102756177,29009,172.933552003
cost_matrix_component_nr_598_size_57_cutoff_10.0.cm.dat,5161734745027517566,32,33,3.219398813,6771,2.975785585
cost_matrix_component_nr_381_size_132_cutoff_10.0.cm.dat,9029441649599576761,28,31,12.316980639,1869,11.623312178
cost_matrix_component_nr_481_size_118_cutoff_10.0.cm.dat,15172574891239429204,56,56,53.741642315,10347,50.434729855
p7_2000.dat,2633497679597255857,5,5,33.045816193,26275,30.71605215
cost_matrix_component_nr_1566_size_67_cutoff_10.0.cm.dat,2190974959950643943,34,41,16.0836558,23385,15.17604651
cost_matrix_component_nr_65_size_133_cutoff_10.0.cm.dat,410941950864334948,28,28,44.968738434,8163,43.753754822
cost_matrix_component_nr_263_size_186_cutoff_10.0.cm.dat,10086520628874158805,58,59,1083.50969707,60607,1054.574940027
cost_matrix_component_nr_13_size_65_cutoff_10.0.cm.dat,13733134845847189359,31,31,2.026186524,1525,1.863978683
cost_matrix_component_nr_700_size_144_cutoff_10.0.cm.dat,6329650611881490334,45,45,490.279850474,39313,479.517855959
cost_matrix_component_nr_362_size_99_cutoff_10.0.cm.dat,16270706382530749776,40,40,18.440625175,3175,17.066650453
cost_matrix_component_nr_470_size_137_cutoff_10.0.cm.dat,1022257029156276826,56,61,330.577894762,47873,310.979484709
cost_matrix_component_nr_1481_size_87_cutoff_10.0.cm.dat,9600968555254442096,30,31,14.755796807,13289,14.347651702
cost_matrix_component_nr_115_size_79_cutoff_10.0.cm.dat,6485601669415192095,32,32,6.07431644,2075,5.515065628
cost_matrix_component_nr_436_size_121_cutoff_10.0.cm.dat,3504532988308262595,50,51,3648.105674859,2946905,3511.884903232
p8_2000.dat,2937577785361002611,4,4,11.082016471,1989,10.757078879
p7_64000.dat,13418869128315272246,7,8,9325.660296676,1981065,8786.589848484
cost_matrix_component_nr_97_size_116_cutoff_10.0.cm.dat,11567142818861309547,43,43,56.871714749,6157,55.200485102
cost_matrix_component_nr_48_size_77_cutoff_10.0.cm.dat,13685527878841585849,42,43,12.870228863,10215,11.854414688
cost_matrix_component_nr_113_size_263_cutoff_10.0.cm.dat,15950751898152031830,86,87,1171.745097822,40617,1118.409909173
p3_1000.dat,11290293076450075094,11,12,5133.025692413,35500453,4718.255273535
cost_matrix_component_nr_520_size_89_cutoff_10.0.cm.dat,16803699657452342662,26,28,6.449656709,3383,6.002443016
cost_matrix_component_nr_949_size_74_cutoff_10.0.cm.dat,15865826446329789949,26,26,5.914469588,3015,5.693623434
cost_matrix_component_nr_1032_size_115_cutoff_10.0.cm.dat,8744400923481966322,55,55,3623.784214068,2093577,3417.513645113
cost_matrix_component_nr_57_size_129_cutoff_10.0.cm.dat,6574901370503284769,51,55,169.561855908,66413,160.065782321
